MP,HMM_Mean,HMM_Low,HMM_High,HMM_NS_Mean,HMM_NS_Low,HMM_NS_High,SGF_S_Mean,SGF_S_Low,SGF_S_High,Trad_Mean,Trad_Low,Trad_High,Cox_Mean,Cox_Low,Cox_High
20.5,74.95194514095783,60.394357070326805,85.67287400364876,78.22950079292059,56.31242178380489,90.13381900265811,76.78329392522573,62.18268774449825,88.71656717732549,80.13427066802979,56.249293088912964,92.0161123201251,87.7906677661836,83.69843567836212,91.65714657819598
21.0,75.19301661849022,60.883939415216446,86.22634265571833,78.42581631243229,56.49793095886707,90.34915711730717,76.79960891604424,62.21430480480194,88.73079238459468,80.14745125174522,56.2798535823822,92.02938737347722,87.90127405107015,83.87215992799513,91.738211345044
21.5,65.98434042930603,54.761972874403,77.88621488958597,57.093031734228134,44.16081055998802,74.49796982109545,68.49758772552013,56.1896363645792,80.59326089918613,56.691761404275894,41.37850925326347,74.90900285542008,88.00870049981768,84.04097594483633,91.82907643632659
22.0,66.23917284607887,55.23927815258503,78.0098806321621,57.331840962171555,44.34151455760002,74.66113355010746,68.51526018977165,56.1932422965765,80.59123937040567,56.70796121656895,41.37044742703438,74.90795470774171,88.11310442080556,84.20512173356609,91.92362636091559
22.5,66.49242530763149,55.532101765275,78.20262968540192,57.572065994143486,44.4913849234581,74.78475749492644,68.5325324088335,56.1967770755291,80.58925617486238,56.72380089759827,41.36257246136665,74.90692466497418,88.21463211397793,84.36481890890498,92.0154067396375
23.0,66.7379850000143,55.73505751788616,78.48300363868475,57.79725666344166,44.609176963567734,74.89983525127171,68.54942120611668,56.20023652911186,80.58730963617563,56.73929603397846,41.354624181985855,74.90591090172526,88.31341986046124,84.5202741500259,92.1045529265497
23.5,72.53234464675188,56.12223707139492,86.12044118344782,74.12645293027163,55.53367346525192,89.64632675051689,75.45732040703297,57.89960369467735,88.83142657577991,76.73771414160728,53.474729880690575,91.94200159981847,88.40959480420057,84.67168049796739,92.19119101587557
24.0,72.74756739288568,56.31802275776863,86.29015393555163,74.31835417449474,55.553000792860985,89.83365379273891,75.47231876850128,57.93231479823589,88.82907895371318,76.7506518214941,53.504029884934425,91.94088038057089,88.50327573939505,84.78445708355052,92.27543865179989
24.5,72.96352341771126,56.499821841716766,86.41760446131228,74.49766926467419,55.556572675704956,90.01082258298993,75.48700121045113,57.96435244381428,88.82677329704165,76.76331496983767,53.532729893922806,91.94031849503517,88.5945738155081,84.88709884625435,92.35740575253055
25.0,73.1701297685504,56.6607279330492,86.59011218696831,74.67928049713373,55.577164366841316,90.20332979038358,75.5013804808259,57.99574941396713,88.8252167776227,76.77571507170796,53.56085143983364,91.93976353853941,88.68359316995074,84.98732413782545,92.43719515922608
25.5,73.37806701660156,56.82759702205658,86.79793298244475,74.85303688794374,55.55868536233902,90.34626318141818,75.51546894013882,58.0265237390995,88.82394494488835,76.78786302730441,53.58842819929123,91.93921439349651,88.77043149712568,85.0842663453216,92.51490321889771
26.0,74.26472532749176,64.91656623780727,82.3792190477252,67.13022808730602,55.80758683383465,81.12264856696127,77.5028841868043,67.16452665627003,85.51792833954096,69.30822286754847,52.82919988036156,83.85170742869377,88.85518056132874,85.1772076230625,92.5906203091361
26.5,74.46035273373127,64.91625964641571,82.57154412567616,67.32243691384792,55.95732510089874,81.46979153156279,77.51623634248972,67.16651536524296,85.51472932100296,69.32141675055027,52.86780297756195,83.85495066642761,88.93792665999744,85.26808575720439,92.66443131145014
27.0,74.64981751143932,64.96417380869389,82.8005403652787,67.50896494090557,56.000280901789665,81.8139688298106,77.52933230251074,67.16846369206905,85.5115919187665,69.33436100929976,52.905694618821144,83.85813217610121,89.01875104293967,85.3569820549187,92.73641603910222
27.5,74.83475293964148,65.09949788451195,83.23028963059187,67.69381693005562,56.13536328077316,82.1245290711522,77.54218102991581,67.17037074267864,85.50851009786129,69.34706528484821,52.94289782643318,83.86125642806292,89.09773029244592,85.44397322895595,92.80664962455683
28.0,75.02225307375193,65.29774725437164,83.6608162894845,67.87235902249813,56.21750012040138,82.41750344634055,77.55479206889868,67.17224255204201,85.50548378378153,69.35953787714243,52.979441806674004,83.86432234197855,89.17493666856485,85.52913173389226,92.87520287100254
28.5,84.3014673218131,71.00275427103043,93.25095430016516,84.29036932438612,62.46046781539917,94.84843454323708,86.95360980555415,75.87646562606096,94.04599025845528,86.75412914901972,63.55947703123093,95.87807011790574,89.25043842328678,85.5876668650193,92.94531021339557
29.0,84.43177365139127,71.00440949201584,93.42274424619971,84.40137258917093,62.48792067170143,94.96874590404332,86.962476067245,75.89468959718943,94.04875988140702,86.76176815479994,63.5573273897171,95.88477495126426,89.32430008691972,85.63654720902888,93.03505708692893
29.5,84.55717795342207,71.06250770390034,93.5411714017391,84.51073871552944,62.585198655724525,95.06946598179638,86.97118216007948,75.91259457170963,94.05148133635521,86.76926885545254,63.55521813035011,95.89135703630745,89.39658272954637,85.68451017088496,93.12248433198144
30.0,84.68782125785947,71.13230764865875,93.66602272726594,84.62410970404744,62.674269154667854,95.15692343004048,86.97973340377212,75.9301970154047,94.05415558256209,86.77663558721542,63.55314239859581,95.89782062917948,89.4673442001068,85.7315877848712,93.20940788539544
30.5,84.81099861487746,71.21647983789444,93.74869418330489,84.72520940005779,62.688902243971825,95.25308340787888,86.98813510686159,75.94750069081783,94.05678544193506,86.78387303650379,63.55110004544258,95.9041691198945,89.53663934535513,85.77781046093541,93.29542879536638
31.0,84.92640509828925,71.23750701546669,93.86685482226311,84.83319897204638,62.75787532329559,95.35497759468853,86.9963922612369,75.96451830118895,94.05937169678509,86.79098526388407,63.549087047576904,95.90739402920008,89.60452021067893,85.82320709195714,93.3792956823684
31.5,88.62509648315609,79.47252951562405,95.40987935848534,87.36780883092433,69.13200855255127,95.70165365934372,91.17984377592802,83.25820922851562,96.21846652589738,90.7508545331657,73.90015307813883,97.02748589683324,89.67103622454694,85.86780515233659,93.46109001496785
32.0,88.71727890707552,79.53979779034853,95.5513739772141,87.4478984279558,69.23481687903404,95.8229850884527,91.18588097020984,83.26719913631678,96.22788387350738,90.75626815669239,73.9271167293191,97.03306424431503,89.7362343681521,85.91163078873194,93.54088909548884
32.5,88.8054630625993,79.5790957659483,95.66518399864435,87.53125797118992,69.31683480739594,95.93377037905157,91.19181714206934,83.27604617923498,96.23713516630232,90.76159130781889,73.95365562289953,97.03854775521904,89.80015933164677,85.95470890368227,93.61876632938171
33.0,88.89092354662716,79.61205065250397,95.7868755236268,87.6088949656114,69.43553730845451,96.04996191337705,91.19765558093786,83.2847547531128,96.24622623436153,90.76682629995048,73.97978197783232,97.04393953084946,89.86285365821522,85.99706323277341,93.69479147354795
33.5,88.97784501872957,79.6476985141635,95.89430338703096,87.68628630880266,69.5111371576786,96.15345822647214,91.20339925959706,83.29333018511534,96.25516180880368,90.77197609841824,74.00550432503223,97.04924238380045,89.92435787709628,86.0387164159345,93.76903086554434
34.0,89.05572148039937,79.64875057339668,95.99548012018204,87.7641617320478,69.6160215139389,96.25777693465352,91.2090511098504,83.30177552998066,96.26394662074745,90.77704344503582,74.03084054589272,97.05445889383554,89.98471062655275,86.07969006339198,93.84154763538974
34.5,91.14106978476048,82.654421441257,96.09956488013268,90.9952784627676,81.8110415711999,96.16193273104727,92.98042158037424,87.25013263523579,96.04141771793365,93.1334926635027,86.88048716634512,96.85480411164463,90.04394876768066,86.12000481675298,93.89998288653115
35.0,91.20861739106476,82.6593678444624,96.1905946303159,91.05366720631719,81.78582336753607,96.27785360440612,92.98497528210282,87.24941868335009,96.04443196207285,93.13753370568156,86.88374154269695,96.85998984146863,90.10210748986103,86.1596804056425,93.95009149345853
