sim_id,CoxPH_HR,CoxPH_beta_S,CoxPH_beta_GS,CoxPH_LL,CoxPH_AIC,CoxPH_BIC,CoxPH_nparams,Markov_RR,Markov_risk_never,Markov_risk_always,Markov_beta_S,Markov_beta_GS,Markov_LL,Markov_AIC,Markov_BIC,Markov_nparams,HMM_RR,HMM_risk_never,HMM_risk_always,HMM_beta_S,HMM_beta_GS,HMM_beta_Z,HMM_LL,HMM_AIC,HMM_BIC,HMM_nparams
36,1.1668223220219347,0.15428408980369568,0.3203515112400055,-11025.82797241211,22105.65594482422,22319.050108742693,27,5.778149318101978,0.051722388714551926,0.29885968565940857,0.17362768948078156,0.32401546835899353,-11012.10073852539,22078.20147705078,22291.595640969255,27,5.9762164622005685,0.05336744338274002,0.3189353942871094,-0.1410326063632965,0.4903402626514435,1.4823789596557617,-10892.693359375,21839.38671875,22052.780882668474,27
37,1.3125035452541025,0.27193641662597656,0.27795836329460144,-10913.513458251953,21881.026916503906,22094.42108042238,27,4.8196579161848705,0.05222415179014206,0.25170254707336426,0.25970399379730225,0.26563742756843567,-10911.732711791992,21877.465423583984,22090.85958750246,27,6.124917274656691,0.05212072283029556,0.3192351162433624,-0.09814301133155823,0.43328747153282166,1.4874653816223145,-10833.484375,21720.96875,21934.362913918474,27
38,1.243248325484032,0.21772757172584534,0.38697803020477295,-10900.953720092773,21855.907440185547,22069.30160410402,27,3.627456159224224,0.05820980668067932,0.2111535221338272,0.1953149288892746,0.36134815216064453,-10896.746566772461,21847.493133544922,22060.887297463396,27,5.452991404789092,0.054909031838178635,0.29941847920417786,-0.14168013632297516,0.5212278962135315,1.3797316551208496,-10854.3671875,21762.734375,21976.128538918474,27
39,1.3157763969060192,0.2744269073009491,0.2553695738315582,-11075.026885986328,22204.053771972656,22417.44793589113,27,4.903936507821579,0.05621478706598282,0.2756737470626831,0.22897957265377045,0.24861812591552734,-11124.618103027344,22303.236206054688,22516.63036997316,27,5.9099162618489975,0.054264746606349945,0.32070010900497437,-0.07807080447673798,0.4311847686767578,1.4477276802062988,-11015.8291015625,22085.658203125,22299.052367043474,27
40,1.274263526181662,0.24236838519573212,0.2926292419433594,-10776.841918945312,21607.683837890625,21821.0780018091,27,4.45026663063245,0.054529979825019836,0.24267295002937317,0.2607984244823456,0.28204968571662903,-10777.845443725586,21609.690887451172,21823.085051369646,27,5.6742565300999015,0.05429737642407417,0.308097243309021,-0.1333528608083725,0.47377344965934753,1.4275704622268677,-10722.353515625,21498.70703125,21712.101195168474,27
41,1.2420993836816094,0.21680299937725067,0.2759459912776947,-11505.880996704102,23065.761993408203,23279.156157326677,27,4.225590789890181,0.058448027819395065,0.24697744846343994,0.21147538721561432,0.28387022018432617,-11503.02685546875,23060.0537109375,23273.447874855974,27,6.024708830060072,0.05499063804745674,0.33130258321762085,-0.12246103584766388,0.41791191697120667,1.4986425638198853,-11396.923828125,22847.84765625,23061.241820168474,27
42,1.2340146764448852,0.21027281880378723,0.41927847266197205,-10965.259521484375,21984.51904296875,22197.913206887224,27,3.479855037495225,0.062028851360082626,0.21585141122341156,0.21991680562496185,0.4103255569934845,-10966.567932128906,21987.135864257812,22200.530028176287,27,5.012914348512309,0.057352710515260696,0.2875042259693146,-0.20435883104801178,0.5166133642196655,1.3641284704208374,-10876.427734375,21806.85546875,22020.249632668474,27
43,1.184220312209868,0.1690845936536789,0.34152522683143616,-10649.586471557617,21353.172943115234,21566.56710703371,27,4.507199271577099,0.05446091294288635,0.2454661875963211,0.17862854897975922,0.34850597381591797,-10677.420181274414,21408.840362548828,21622.234526467302,27,5.847018032885112,0.05301089957356453,0.3099556863307953,-0.17069637775421143,0.506545901298523,1.4835493564605713,-10618.0888671875,21290.177734375,21503.571898293474,27
44,1.3167827567996901,0.27519145607948303,0.32271814346313477,-11203.323333740234,22460.64666748047,22674.040831398943,27,4.4984959612578646,0.054683130234479904,0.24599184095859528,0.24154523015022278,0.287749707698822,-11181.271453857422,22416.542907714844,22629.937071633318,27,5.975783451135417,0.0541708804666996,0.3237134516239166,-0.07407107949256897,0.457348495721817,1.4370261430740356,-11126.78515625,22307.5703125,22520.964476418474,27
45,1.2106731758689222,0.19117654860019684,0.23382118344306946,-10934.620574951172,21923.241149902344,22136.635313820818,27,4.114119341096282,0.05713450163602829,0.23505815863609314,0.22232982516288757,0.28740277886390686,-10945.117202758789,21944.234405517578,22157.628569436052,27,5.571999281555462,0.056257378309965134,0.31346607208251953,-0.14130645990371704,0.44259780645370483,1.4285743236541748,-10882.88671875,21819.7734375,22033.167601418474,27
