sim_id,Full_Model_LL,Full_Model_AIC,Full_Model_BIC,Full_Model_nparams,Full_Model_beta_GS,No_Interaction_LL,No_Interaction_AIC,No_Interaction_BIC,No_Interaction_nparams,No_PackYears_LL,No_PackYears_AIC,No_PackYears_BIC,No_PackYears_nparams,No_PackYears_beta_GS,LRT_No_Interaction_chi2,LRT_No_Interaction_pvalue,LRT_No_PackYears_chi2,LRT_No_PackYears_pvalue
90,-10905.1962890625,21864.392578125,22077.786742043474,27,0.47693413496017456,-10923.453125,21894.90625,22084.589951260867,24,-10972.171875,21994.34375,22191.930938813402,25,0.5239784121513367,36.513671875,5.8312902062596095e-08,133.951171875,0.0
91,-11074.541015625,22203.08203125,22416.476195168474,27,0.43414461612701416,-11071.66015625,22191.3203125,22381.004013760867,24,-11130.76953125,22311.5390625,22509.126251313402,25,0.4563317596912384,0.0,1.0,112.45703125,0.0
92,-11087.4091796875,22228.818359375,22442.212523293474,27,0.4097687900066376,-11091.4130859375,22230.826171875,22420.509873135867,24,-11135.0048828125,22320.009765625,22517.596954438402,25,0.44446805119514465,8.0078125,0.045850520498859404,95.19140625,0.0
93,-10749.6982421875,21553.396484375,21766.790648293474,27,0.5278558731079102,-10754.28515625,21556.5703125,21746.254013760867,24,-10789.875,21629.75,21827.337188813402,25,0.5318842530250549,9.173828125,0.027066834462040168,80.353515625,0.0
94,-10903.2998046875,21860.599609375,22073.993773293474,27,0.44499891996383667,-10918.3349609375,21884.669921875,22074.353623135867,24,-10932.0869140625,21914.173828125,22111.761016938402,25,0.5009334683418274,30.0703125,1.3338479756264121e-06,57.57421875,3.147482274812319e-13
95,-10988.2568359375,22030.513671875,22243.907835793474,27,0.5509365200996399,-10992.0732421875,22032.146484375,22221.830185635867,24,-11027.57421875,22105.1484375,22302.735626313402,25,0.5873192548751831,7.6328125,0.05424235735928151,78.634765625,0.0
96,-10808.0791015625,21670.158203125,21883.552367043474,27,0.47874605655670166,-10819.4052734375,21686.810546875,21876.494248135867,24,-10869.392578125,21788.78515625,21986.372345063402,25,0.49839863181114197,22.65234375,4.771352765831072e-05,122.626953125,0.0
97,-10941.05859375,21936.1171875,22149.511351418474,27,0.4312966465950012,-10948.7109375,21945.421875,22135.105576260867,24,-11004.876953125,22059.75390625,22257.341095063402,25,0.4584316611289978,15.3046875,0.0015739445849370926,127.63671875,0.0
98,-10831.3876953125,21716.775390625,21930.169554543474,27,0.5034857988357544,-10844.275390625,21736.55078125,21926.234482510867,24,-10854.53515625,21759.0703125,21956.657501313402,25,0.5249344706535339,25.775390625,1.0627976228083647e-05,46.294921875,8.854939004265816e-11
99,-10659.0791015625,21372.158203125,21585.552367043474,27,0.4472637176513672,-10653.3212890625,21354.642578125,21544.326279385867,24,-10691.8935546875,21433.787109375,21631.374298188402,25,0.4733319878578186,0.0,1.0,65.62890625,5.662137425588298e-15
